open,high,low,close,vol,divs,stock_splits
4331.75,4347.5,4288.25,4308.75,218259,0.0,0.0
4313.5,4372.75,4299.5,4359.5,119758,0.0,0.0
4355.5,4384.75,4348.75,4377.75,118898,0.0,0.0
4377.25,4441.5,4343.25,4427.25,75864,0.0,0.0
4427.5,4441.75,4419.5,4429.5,39157,0.0,0.0
4426.25,4467.25,4424.25,4461.25,210568,0.0,0.0
4448.5,4461.25,4436.0,4436.75,149739,0.0,0.0
4436.5,4461.0,4424.25,4429.0,184226,0.0,0.0
4429.25,4438.5,4320.0,4323.5,320355,0.0,0.0
4327.0,4331.0,4270.0,4310.75,356229,0.0,0.0
4313.0,4333.5,4297.25,4325.75,209529,0.0,0.0
4327.5,4381.75,4315.75,4372.5,202012,0.0,0.0
4370.0,4375.75,4320.75,4329.5,224928,0.0,0.0
4321.75,4334.25,4259.0,4313.0,311506,0.0,0.0
4316.75,4321.0,4288.5,4307.25,168845,0.0,0.0
4265.0,4354.75,4264.5,4342.25,154026,0.0,0.0
4339.75,4372.25,4330.25,4334.0,171692,0.0,0.0
4335.25,4379.25,4327.5,4374.75,225547,0.0,0.0
4378.0,4401.25,4352.75,4399.25,201439,0.0,0.0
4399.0,4416.0,4385.75,4414.75,126565,0.0,0.0
4415.0,4441.5,4399.5,4403.25,171930,0.0,0.0
4405.5,4414.5,4366.75,4397.75,220750,0.0,0.0
4400.25,4429.0,4388.75,4421.75,170496,0.0,0.0
4426.25,4429.5,4398.0,4415.25,162971,0.0,0.0
4416.25,4417.5,4324.0,4349.0,302065,0.0,0.0
4356.75,4417.0,4352.25,4407.5,218236,0.0,0.0
4402.75,4442.75,4402.75,4428.5,190749,0.0,0.0
4433.0,4459.5,4398.5,4445.25,196846,0.0,0.0
4438.5,4497.25,4418.0,4481.5,252582,0.0,0.0
4492.5,4536.25,4489.5,4529.25,204737,0.0,0.0
4533.0,4555.5,4509.25,4524.75,224600,0.0,0.0
4524.25,4531.25,4471.75,4516.0,283966,0.0,0.0
4512.25,4514.0,4456.25,4479.75,290967,0.0,0.0
4474.0,4478.25,4386.5,4408.25,353283,0.0,0.0
4414.0,4470.75,4409.75,4467.75,197160,0.0,0.0
4471.75,4503.5,4457.0,4476.5,191856,0.0,0.0
4474.0,4480.25,4399.5,4407.5,306244,0.0,0.0
4409.0,4423.5,4341.5,4373.0,335134,0.0,0.0
4371.5,4409.25,4332.5,4402.5,249245,0.0,0.0
4404.0,4462.75,4401.0,4448.75,216447,0.0,0.0
4452.5,4464.5,4426.75,4431.25,170514,0.0,0.0
4431.5,4438.0,4374.5,4420.75,257296,0.0,0.0
4423.0,4457.75,4417.5,4423.75,200865,0.0,0.0
4425.75,4493.0,4412.75,4490.25,184396,0.0,0.0
4489.0,4507.5,4477.75,4488.75,140746,0.0,0.0
4491.25,4517.75,4470.5,4507.25,128602,0.0,0.0
4509.75,4526.5,4496.5,4501.25,127690,0.0,0.0
4501.75,4534.0,4482.25,4505.5,170963,0.0,0.0
4500.0,4536.5,4486.5,4528.75,123530,0.0,0.0
4530.5,4542.0,4522.0,4528.75,100980,0.0,0.0
4527.5,4538.5,4455.0,4479.75,228084,0.0,0.0
4481.5,4551.0,4473.0,4542.25,198538,0.0,0.0
4540.5,4547.5,4521.75,4542.75,152018,0.0,0.0
4542.0,4545.25,4497.25,4511.0,197740,0.0,0.0
4514.0,4538.25,4486.0,4521.5,216323,0.0,0.0
4525.75,4531.75,4480.75,4503.0,222449,0.0,0.0
4503.25,4540.75,4501.25,4527.5,190316,0.0,0.0
4526.75,4527.25,4473.25,4496.5,285057,0.0,0.0
4494.75,4506.5,4449.25,4481.5,232923,0.0,0.0
4479.5,4483.25,4422.0,4432.25,237404,0.0,0.0
4435.75,4441.25,4390.25,4431.5,226086,0.0,0.0
4431.5,4498.25,4430.5,4488.75,238886,0.0,0.0
4486.25,4512.25,4479.25,4490.5,186848,0.0,0.0
4489.25,4491.25,4447.75,4454.75,153829,0.0,0.0
4443.5,4444.75,4394.25,4435.5,145112,0.0,0.0
4432.5,4463.5,4403.0,4459.0,108589,0.0,0.0
4459.25,4482.75,4440.0,4461.25,67479,0.0,0.0
