;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Period;;;Minimum bid rate in the Eurosystem's main refinancing operations (1);Japan: uncollateralized overnight call rate (2);Sweden: repo rate;;United Kingdom: repo rate;;US fed funds target rate
;;27;3,50;0,30;3,00;;4,25;;5,00
;;26;3,50;0,30;3,00;;4,25;;5,00
;;25;3,50;0,30;3,00;;4,25;;5,00
;;24;3,50;0,30;3,00;;4,25;;5,00
;;21;3,50;0,30;3,00;;4,25;;5,00
;;20;3,50;0,30;3,00;;4,25;;5,00
;;19;3,50;0,30;3,00;;4,25;;5,00
;;18;3,50;0,30;3,00;;4,25;;5,00
;;17;3,50;0,30;3,00;;4,25;;5,00
;;14;3,50;0,30;3,00;;4,25;;5,00
;;13;3,50;0,30;3,00;;4,25;;5,00
;;12;3,50;0,30;3,00;;4,25;;5,00
;;11;3,50;0,30;3,00;;4,25;;5,00
;;10;3,50;0,30;;;4,25;;5,00
;;7;3,50;0,30;;;4,25;;5,00
;;6;3,50;0,30;3,00;;4,25;;5,00
;;5;3,50;0,30;3,00;;4,25;;5,00
;;4;3,50;0,30;3,00;;4,25;;5,00
;;3;3,50;0,30;3,00;;4,25;;5,00
;;;3,50;0,30;3,00;;4,25;;5,00
;Mar;31;3,50;0,30;3,00;;4,25;;5,00
;;30;3,50;0,30;3,00;;4,25;;5,00
;;29;3,50;0,30;3,00;;4,25;;5,00
;;28;3,50;0,30;3,00;;4,25;;5,00
;;27;3,50;0,30;3,00;;4,25;;5,00
;;24;3,50;0,30;3,00;;4,25;;5,00
;;23;3,50;0,30;3,00;;4,25;;5,00
;;22;3,50;0,30;3,00;;4,00;;5,00
;;21;3,00;0,30;3,00;;4,00;;4,75
;;20;3,00;0,30;3,00;;4,00;;4,75
;;17;3,00;0,30;3,00;;4,00;;4,75
;;16;3,00;0,30;3,00;;4,00;;4,75
;;15;3,00;0,30;3,00;;4,00;;4,75
;;14;3,00;0,30;3,00;;4,00;;4,75
;;13;3,00;0,30;3,00;;4,00;;4,75
;;10;3,00;0,30;3,00;;4,00;;4,75
;;9;3,00;0,30;3,00;;4,00;;4,75
;;8;3,00;0,30;3,00;;4,00;;4,75
;;7;3,00;;;;;;
;;6;3,00;0,30;3,00;;4,00;;4,75
;;3;3,00;0,30;3,00;;4,00;;4,75
;;2;3,00;0,30;3,00;;4,00;;4,75
;;1;3,00;0,30;3,00;;4,00;;4,75
;;;3,50;0,30;3,00;;4,25;;5,00
;Feb;28;3,00;0,30;3,00;;4,00;;4,75
;;27;3,00;0,30;3,00;;4,00;;4,75
;;24;3,00;0,30;3,00;;4,00;;4,75
;;23;3,00;0,30;3,00;;4,00;;4,75
;;22;3,00;0,30;3,00;;4,00;;4,75
;;21;3,00;0,30;3,00;;4,00;;4,75
;;20;3,00;0,30;3,00;;4,00;;4,75
;;17;3,00;0,30;3,00;;4,00;;4,75
;;16;3,00;0,30;3,00;;4,00;;4,75
