;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Period;;;Minimum bid rate in the Eurosystem's main refinancing operations (1);Japan: uncollateralized overnight call rate (2);Sweden: repo rate;;United Kingdom: repo rate;;US fed funds target rate
;;4;0,50;0,30;1,00;;0,50;;0,25
;;3;0,50;0,30;1,00;;0,50;;0,25
;;2;0,50;0,30;1,00;;0,50;;0,25
;;1;0,50;0,30;1,00;;0,50;;0,25
;;;0,50;0,30;1,00;;0,50;;0,25
;Sep;30;0,50;0,30;1,00;;0,50;;0,25
;;27;0,50;0,30;1,00;;0,50;;0,25
;;26;0,50;0,30;1,00;;0,50;;0,25
;;25;0,50;0,30;1,00;;0,50;;0,25
;;24;0,50;0,30;1,00;;0,50;;0,25
;;23;0,50;0,30;1,00;;0,50;;0,25
;;20;0,50;0,30;1,00;;0,50;;0,25
;;19;0,50;0,30;1,00;;0,50;;0,25
;;18;0,50;0,30;1,00;;0,50;;0,25
;;17;0,50;0,30;1,00;;0,50;;0,25
;;16;0,50;0,30;1,00;;0,50;;0,25
;;13;0,50;0,30;1,00;;0,50;;0,25
;;12;0,50;0,30;1,00;;0,50;;0,25
;;11;0,50;0,30;1,00;;0,50;;0,25
;;10;0,50;0,30;1,00;;0,50;;0,25
;;9;0,50;0,30;1,00;;0,50;;0,25
;;6;0,50;0,30;1,00;;0,50;;0,25
;;5;0,50;0,30;1,00;;0,50;;0,25
;;4;0,50;0,30;1,00;;0,50;;0,25
;;3;0,50;0,30;1,00;;0,50;;0,25
;;2;0,50;0,30;1,00;;0,50;;0,25
;;;0,50;0,30;1,00;;0,50;;0,25
;Aug;30;0,50;0,30;1,00;;0,50;;0,25
;;29;0,50;0,30;1,00;;0,50;;0,25
;;28;0,50;0,30;1,00;;0,50;;0,25
;;27;0,50;0,30;1,00;;0,50;;0,25
;;26;0,50;0,30;1,00;;0,50;;0,25
;;23;0,50;0,30;1,00;;0,50;;0,25
;;22;0,50;0,30;1,00;;0,50;;0,25
;;21;0,50;0,30;1,00;;0,50;;0,25
;;20;0,50;0,30;1,00;;0,50;;0,25
;;19;0,50;0,30;1,00;;0,50;;0,25
;;16;0,50;0,30;1,00;;0,50;;0,25
;;15;0,50;0,30;1,00;;0,50;;0,25
;;14;0,50;0,30;1,00;;0,50;;0,25
;;13;0,50;0,30;1,00;;0,50;;0,25
;;12;0,50;0,30;1,00;;0,50;;0,25
;;9;0,50;0,30;1,00;;0,50;;0,25
;;8;0,50;0,30;1,00;;0,50;;0,25
;;7;0,50;0,30;1,00;;0,50;;0,25
;;6;0,50;0,30;1,00;;0,50;;0,25
;;5;0,50;0,30;1,00;;0,50;;0,25
;;2;0,50;0,30;1,00;;0,50;;0,25
;;1;0,50;0,30;1,00;;0,50;;0,25
;;;0,50;0,30;1,00;;0,50;;0,25
;Jul;31;0,50;0,30;1,00;;0,50;;0,25
;;30;0,50;0,30;1,00;;0,50;;0,25
;;29;0,50;0,30;1,00;;0,50;;0,25
;;26;0,50;0,30;1,00;;0,50;;0,25
;;25;0,50;0,30;1,00;;0,50;;0,25
;;24;0,50;0,30;1,00;;0,50;;0,25
;;23;0,50;0,30;1,00;;0,50;;0,25
;;22;0,50;0,30;1,00;;0,50;;0,25
;;19;0,50;0,30;1,00;;0,50;;0,25
;;18;0,50;0,30;1,00;;0,50;;0,25
;;17;0,50;0,30;1,00;;0,50;;0,25
;;16;0,50;0,30;1,00;;0,50;;0,25
;;15;0,50;0,30;1,00;;0,50;;0,25
;;12;0,50;0,30;1,00;;0,50;;0,25
;;11;0,50;0,30;1,00;;0,50;;0,25
;;10;0,50;0,30;1,00;;0,50;;0,25
;;9;0,50;0,30;1,00;;0,50;;0,25
;;8;0,50;0,30;1,00;;0,50;;0,25
;;5;0,50;0,30;1,00;;0,50;;0,25
;;4;0,50;0,30;1,00;;0,50;;0,25
;;3;0,50;0,30;1,00;;0,50;;0,25
;;2;0,50;0,30;1,00;;0,50;;0,25
;;1;0,50;0,30;1,00;;0,50;;0,25
;;;0,50;0,30;1,00;;0,50;;0,25
;Jun;28;0,50;0,30;1,00;;0,50;;0,25
;;27;0,50;0,30;1,00;;0,50;;0,25
;;26;0,50;0,30;1,00;;0,50;;0,25
;;25;0,50;0,30;1,00;;0,50;;0,25
;;24;0,50;0,30;1,00;;0,50;;0,25
;;21;0,50;0,30;1,00;;0,50;;0,25
;;20;0,50;0,30;1,00;;0,50;;0,25
;;19;0,50;0,30;1,00;;0,50;;0,25
;;18;0,50;0,30;1,00;;0,50;;0,25
;;17;0,50;0,30;1,00;;0,50;;0,25
;;14;0,50;0,30;1,00;;0,50;;0,25
;;13;0,50;0,30;1,00;;0,50;;0,25
;;12;0,50;0,30;1,00;;0,50;;0,25
;;11;0,50;0,30;1,00;;0,50;;0,25
;;10;0,50;0,30;1,00;;0,50;;0,25
;;7;0,50;0,30;1,00;;0,50;;0,25
;;6;0,50;0,30;1,00;;0,50;;0,25
;;5;0,50;0,30;1,00;;0,50;;0,25
;;4;0,50;0,30;1,00;;0,50;;0,25
;;3;0,50;0,30;1,00;;0,50;;0,25
;;;0,50;0,30;1,00;;0,50;;0,25
;May;31;0,50;0,30;1,00;;0,50;;0,25
;;30;0,50;0,30;1,00;;0,50;;0,25
;;29;0,50;0,30;1,00;;0,50;;0,25
;;28;0,50;0,30;1,00;;0,50;;0,25
;;27;0,50;0,30;1,00;;;;0,25
;;24;0,50;0,30;1,00;;0,50;;0,25
;;23;0,50;0,30;1,00;;0,50;;0,25
;;22;0,50;0,30;1,00;;0,50;;0,25
;;21;0,50;0,30;1,00;;0,50;;0,25
;;20;0,50;0,30;1,00;;0,50;;0,25
;;17;0,50;0,30;1,00;;0,50;;0,25
;;16;0,50;0,30;1,00;;0,50;;0,25
;;15;0,50;0,30;1,00;;0,50;;0,25
;;14;0,50;0,30;1,00;;0,50;;0,25
;;13;0,50;0,30;1,00;;0,50;;0,25
;;10;0,50;0,30;1,00;;0,50;;0,25
;;9;0,50;0,30;1,00;;0,50;;0,25
;;8;0,50;0,30;1,00;;0,50;;0,25
;;7;0,75;0,30;1,00;;0,50;;0,25
;;6;0,75;0,30;1,00;;0,50;;0,25
;;3;0,75;0,30;1,00;;0,50;;0,25
;;2;0,75;0,30;1,00;;0,50;;0,25
;;1;;0,30;;;;;0,25
;;;0,50;0,30;1,00;;0,50;;0,25
;Apr;30;0,75;0,30;1,00;;0,50;;0,25
;;29;0,75;0,30;1,00;;0,50;;0,25
;;26;0,75;0,30;1,00;;0,50;;0,25
;;25;0,75;0,30;1,00;;0,50;;0,25
;;24;0,75;0,30;1,00;;0,50;;0,25
;;23;0,75;0,30;1,00;;0,50;;0,25
;;22;0,75;0,30;1,00;;0,50;;0,25
;;19;0,75;0,30;1,00;;0,50;;0,25
;;18;0,75;0,30;1,00;;0,50;;0,25
;;17;0,75;0,30;1,00;;0,50;;0,25
;;16;0,75;0,30;1,00;;0,50;;0,25
;;15;0,75;0,30;1,00;;0,50;;0,25
;;12;0,75;0,30;1,00;;0,50;;0,25
;;11;0,75;0,30;1,00;;0,50;;0,25
;;10;0,75;0,30;1,00;;0,50;;0,25
;;9;0,75;0,30;1,00;;0,50;;0,25
;;8;0,75;0,30;1,00;;0,50;;0,25
;;5;0,75;0,30;1,00;;0,50;;0,25
;;4;0,75;0,30;1,00;;0,50;;0,25
;;3;0,75;0,30;1,00;;0,50;;0,25
;;2;0,75;0,30;1,00;;0,50;;0,25
;;1;0,75;0,30;;;;;0,25
;;;0,75;0,30;1,00;;0,50;;0,25
;Mar;29;0,75;0,30;;;;;
;;28;0,75;0,30;1,00;;0,50;;0,25
;;27;0,75;0,30;1,00;;0,50;;0,25
;;26;0,75;0,30;1,00;;0,50;;0,25
;;25;0,75;0,30;1,00;;0,50;;0,25
;;22;0,75;0,30;1,00;;0,50;;0,25
;;21;0,75;0,30;1,00;;0,50;;0,25
;;20;0,75;0,30;1,00;;0,50;;0,25
;;19;0,75;0,30;1,00;;0,50;;0,25
;;18;0,75;0,30;1,00;;0,50;;0,25
;;15;0,75;0,30;1,00;;0,50;;0,25
;;14;0,75;0,30;1,00;;0,50;;0,25
;;13;0,75;0,30;1,00;;0,50;;0,25
;;12;0,75;0,30;1,00;;0,50;;0,25
;;11;0,75;0,30;1,00;;0,50;;0,25
;;8;0,75;0,30;1,00;;0,50;;0,25
;;7;0,75;0,30;1,00;;0,50;;0,25
;;6;0,75;0,30;1,00;;0,50;;0,25
;;5;0,75;0,30;1,00;;0,50;;0,25
;;4;0,75;0,30;1,00;;0,50;;0,25
;;1;0,75;0,30;1,00;;0,50;;0,25
;;;0,75;0,30;1,00;;0,50;;0,25
;Feb;28;0,75;0,30;1,00;;0,50;;0,25
;;27;0,75;0,30;1,00;;0,50;;0,25
;;26;0,75;0,30;1,00;;0,50;;0,25
;;25;0,75;0,30;1,00;;0,50;;0,25
;;22;0,75;0,30;1,00;;0,50;;0,25
;;21;0,75;0,30;1,00;;0,50;;0,25
;;20;0,75;0,30;1,00;;0,50;;0,25
;;19;0,75;0,30;1,00;;0,50;;0,25
;;18;0,75;0,30;1,00;;0,50;;
;;15;0,75;0,30;1,00;;0,50;;0,25
;;14;0,75;0,30;1,00;;0,50;;0,25
;;13;0,75;0,30;1,00;;0,50;;0,25
;;12;0,75;0,30;1,00;;0,50;;0,25
;;11;0,75;0,30;1,00;;0,50;;0,25
;;8;0,75;0,30;1,00;;0,50;;0,25
;;7;0,75;0,30;1,00;;0,50;;0,25
;;6;0,75;0,30;1,00;;0,50;;0,25
;;5;0,75;0,30;1,00;;0,50;;0,25
;;4;0,75;0,30;1,00;;0,50;;0,25
;;1;0,75;0,30;1,00;;0,50;;0,25
;;;0,75;0,30;1,00;;0,50;;0,25
;Jan;31;0,75;0,30;1,00;;0,50;;0,25
;;30;0,75;0,30;1,00;;0,50;;0,25
;;29;0,75;0,30;1,00;;0,50;;0,25
;;28;0,75;0,30;1,00;;0,50;;0,25
;;25;0,75;0,30;1,00;;0,50;;0,25
;;24;0,75;0,30;1,00;;0,50;;0,25
;;23;0,75;0,30;1,00;;0,50;;0,25
;;22;0,75;0,30;1,00;;0,50;;0,25
;;21;0,75;0,30;1,00;;0,50;;
;;18;0,75;0,30;1,00;;0,50;;0,25
;;17;0,75;0,30;1,00;;0,50;;0,25
;;16;0,75;0,30;1,00;;0,50;;0,25
;;15;0,75;0,30;1,00;;0,50;;0,25
;;14;0,75;0,30;1,00;;0,50;;0,25
;;11;0,75;0,30;1,00;;0,50;;0,25
;;10;0,75;0,30;1,00;;0,50;;0,25
;;9;0,75;0,30;1,00;;0,50;;0,25
;;8;0,75;0,30;1,00;;0,50;;0,25
;;7;0,75;0,30;1,00;;0,50;;0,25
;;4;0,75;0,30;1,00;;0,50;;0,25
;;3;0,75;0,30;1,00;;0,50;;0,25
;;2;0,75;0,30;1,00;;0,50;;0,25
;;1;;0,30;;;;;
;;;0,75;0,30;1,00;;0,50;;0,25
2012;Dec;31;0,75;0,30;;;0,50;;0,25
;;28;0,75;0,30;1,00;;0,50;;0,25
;;27;0,75;0,30;1,00;;0,50;;0,25
;;26;;0,30;;;;;0,25
;;25;;0,30;;;;;
;;24;0,75;0,30;1,00;;0,50;;0,25
;;21;0,75;0,30;1,00;;0,50;;0,25
;;20;0,75;0,30;1,00;;0,50;;0,25
;;19;0,75;0,30;1,00;;0,50;;0,25
;;18;0,75;0,30;1,25;;0,50;;0,25
;;17;0,75;0,30;1,25;;0,50;;0,25
;;14;0,75;0,30;1,25;;0,50;;0,25
;;13;0,75;0,30;1,25;;0,50;;0,25
;;12;0,75;0,30;1,25;;0,50;;0,25
;;11;0,75;0,30;1,25;;0,50;;0,25
;;10;0,75;0,30;1,25;;0,50;;0,25
;;7;0,75;0,30;1,25;;0,50;;0,25
;;6;0,75;0,30;1,25;;0,50;;0,25
;;5;0,75;0,30;1,25;;0,50;;0,25
;;4;0,75;0,30;1,25;;0,50;;0,25
;;3;0,75;0,30;1,25;;0,50;;0,25
;;;0,75;0,30;1,00;;0,50;;0,25
;Nov;30;0,75;0,30;1,25;;0,50;;0,25
;;29;0,75;0,30;1,25;;0,50;;0,25
;;28;0,75;0,30;1,25;;0,50;;0,25
;;27;0,75;0,30;1,25;;0,50;;0,25
;;26;0,75;0,30;1,25;;0,50;;0,25
;;23;0,75;0,30;1,25;;0,50;;0,25
;;22;0,75;0,30;1,25;;0,50;;0,25
;;21;0,75;0,30;1,25;;0,50;;0,25
;;20;0,75;0,30;1,25;;0,50;;0,25
;;19;0,75;0,30;1,25;;0,50;;0,25
;;16;0,75;0,30;1,25;;0,50;;0,25
;;15;0,75;0,30;1,25;;0,50;;0,25
;;14;0,75;0,30;1,25;;0,50;;0,25
;;13;0,75;0,30;1,25;;0,50;;0,25
;;12;0,75;0,30;1,25;;0,50;;0,25
;;9;0,75;0,30;1,25;;0,50;;0,25
;;8;0,75;0,30;1,25;;0,50;;0,25
;;7;0,75;0,30;1,25;;0,50;;0,25
;;6;0,75;0,30;1,25;;0,50;;0,25
;;5;0,75;0,30;1,25;;0,50;;0,25
;;2;0,75;0,30;1,25;;0,50;;0,25
;;1;0,75;0,30;1,25;;0,50;;0,25
;;;0,75;0,30;1,25;;0,50;;0,25
;Oct;31;0,75;0,30;1,25;;0,50;;0,25
;;30;0,75;0,30;1,25;;0,50;;0,25
;;29;0,75;0,30;1,25;;0,50;;0,25
;;26;0,75;0,30;1,25;;0,50;;0,25
;;25;0,75;0,30;1,25;;0,50;;0,25
;;24;0,75;0,30;1,25;;0,50;;0,25
;;23;0,75;0,30;1,25;;0,50;;0,25
;;22;0,75;0,30;1,25;;0,50;;0,25
;;19;0,75;0,30;1,25;;0,50;;0,25
;;18;0,75;0,30;1,25;;0,50;;0,25
;;17;0,75;0,30;1,25;;0,50;;0,25
;;16;0,75;0,30;1,25;;0,50;;0,25
;;15;0,75;0,30;1,25;;0,50;;0,25
;;12;0,75;0,30;1,25;;0,50;;0,25
;;11;0,75;0,30;1,25;;0,50;;0,25
;;10;0,75;0,30;1,25;;0,50;;0,25
;;9;0,75;0,30;1,25;;0,50;;0,25
;;8;0,75;0,30;1,25;;0,50;;0,25
;;5;0,75;0,30;1,25;;0,50;;0,25
;;4;0,75;0,30;1,25;;0,50;;0,25
;;3;0,75;0,30;1,25;;0,50;;0,25
;;2;0,75;0,30;1,25;;0,50;;0,25
;;1;0,75;0,30;1,25;;0,50;;0,25
;;;0,75;0,30;1,25;;0,50;;0,25
;Sep;28;0,75;0,30;1,25;;0,50;;0,25
;;27;0,75;0,30;1,25;;0,50;;0,25
;;26;0,75;0,30;1,25;;0,50;;0,25
;;25;0,75;0,30;1,25;;0,50;;0,25
;;24;0,75;0,30;1,25;;0,50;;0,25
;;21;0,75;0,30;1,25;;0,50;;0,25
;;20;0,75;0,30;1,25;;0,50;;0,25
;;19;0,75;0,30;1,25;;0,50;;0,25
;;18;0,75;0,30;1,25;;0,50;;0,25
;;17;0,75;0,30;1,25;;0,50;;0,25
;;14;0,75;0,30;1,25;;0,50;;0,25
;;13;0,75;0,30;1,25;;0,50;;0,25
;;12;0,75;0,30;1,25;;0,50;;0,25
;;11;0,75;0,30;1,50;;0,50;;0,25
;;10;0,75;0,30;1,50;;0,50;;0,25
;;7;0,75;0,30;1,50;;0,50;;0,25
;;6;0,75;0,30;1,50;;0,50;;0,25
;;5;0,75;0,30;1,50;;0,50;;0,25
;;4;0,75;0,30;1,50;;0,50;;0,25
;;3;0,75;0,30;1,50;;0,50;;0,25
;;;0,75;0,30;1,25;;0,50;;0,25
;Aug;31;0,75;0,30;1,50;;0,50;;0,25
;;30;0,75;0,30;1,50;;0,50;;0,25
;;29;0,75;0,30;1,50;;0,50;;0,25
;;28;0,75;0,30;1,50;;0,50;;0,25
;;27;0,75;0,30;1,50;;;;0,25
;;24;0,75;0,30;1,50;;0,50;;0,25
;;23;0,75;0,30;1,50;;0,50;;0,25
;;22;0,75;0,30;1,50;;0,50;;0,25
;;21;0,75;0,30;1,50;;0,50;;0,25
;;20;0,75;0,30;1,50;;0,50;;0,25
;;17;0,75;0,30;1,50;;0,50;;0,25
;;16;0,75;0,30;1,50;;0,50;;0,25
;;15;0,75;0,30;1,50;;0,50;;0,25
;;14;0,75;0,30;1,50;;0,50;;0,25
;;13;0,75;0,30;1,50;;0,50;;0,25
;;10;0,75;0,30;1,50;;0,50;;0,25
;;9;0,75;0,30;1,50;;0,50;;0,25
;;8;0,75;0,30;1,50;;0,50;;0,25
;;7;0,75;0,30;1,50;;0,50;;0,25
;;6;0,75;0,30;1,50;;0,50;;0,25
;;3;0,75;0,30;1,50;;0,50;;0,25
;;2;0,75;0,30;1,50;;0,50;;0,25
;;1;0,75;0,30;1,50;;0,50;;0,25
;;;0,75;0,30;1,50;;0,50;;0,25
;Jul;31;0,75;0,30;1,50;;0,50;;0,25
;;30;0,75;0,30;1,50;;0,50;;0,25
;;27;0,75;0,30;1,50;;0,50;;0,25
;;26;0,75;0,30;1,50;;0,50;;0,25
;;25;0,75;0,30;1,50;;0,50;;0,25
;;24;0,75;0,30;1,50;;0,50;;0,25
;;23;0,75;0,30;1,50;;0,50;;0,25
;;20;0,75;0,30;1,50;;0,50;;0,25
;;19;0,75;0,30;1,50;;0,50;;0,25
;;18;0,75;0,30;1,50;;0,50;;0,25
;;17;0,75;0,30;1,50;;0,50;;0,25
;;16;0,75;0,30;1,50;;0,50;;0,25
;;13;0,75;0,30;1,50;;0,50;;0,25
;;12;0,75;0,30;1,50;;0,50;;0,25
;;11;0,75;0,30;1,50;;0,50;;0,25
;;10;1,00;0,30;1,50;;0,50;;0,25
;;9;1,00;0,30;1,50;;0,50;;0,25
;;6;1,00;0,30;1,50;;0,50;;0,25
;;5;1,00;0,30;1,50;;0,50;;0,25
;;4;1,00;0,30;1,50;;0,50;;0,25
;;3;1,00;0,30;1,50;;0,50;;0,25
;;2;1,00;0,30;1,50;;0,50;;0,25
;;;0,75;0,30;1,50;;0,50;;0,25
;Jun;29;1,00;0,30;1,50;;0,50;;0,25
;;28;1,00;0,30;1,50;;0,50;;0,25
;;27;1,00;0,30;1,50;;0,50;;0,25
;;26;1,00;0,30;1,50;;0,50;;0,25
;;25;1,00;0,30;1,50;;0,50;;0,25
;;22;1,00;0,30;1,50;;0,50;;0,25
;;21;1,00;0,30;1,50;;0,50;;0,25
;;20;1,00;0,30;1,50;;0,50;;0,25
;;19;1,00;0,30;1,50;;0,50;;0,25
;;18;1,00;0,30;1,50;;0,50;;0,25
;;15;1,00;0,30;1,50;;0,50;;0,25
;;14;1,00;0,30;1,50;;0,50;;0,25
;;13;1,00;0,30;1,50;;0,50;;0,25
;;12;1,00;0,30;1,50;;0,50;;0,25
;;11;1,00;0,30;1,50;;0,50;;0,25
;;8;1,00;0,30;1,50;;0,50;;0,25
;;7;1,00;0,30;1,50;;0,50;;0,25
;;6;1,00;0,30;1,50;;0,50;;0,25
;;5;1,00;0,30;1,50;;0,50;;0,25
;;4;1,00;0,30;1,50;;0,50;;0,25
;;1;1,00;0,30;1,50;;0,50;;0,25
;;;1,00;0,30;1,50;;0,50;;0,25
;May;31;1,00;0,30;1,50;;0,50;;0,25
;;30;1,00;0,30;1,50;;0,50;;0,25
;;29;1,00;0,30;1,50;;0,50;;0,25
;;28;1,00;0,30;1,50;;0,50;;0,25
;;25;1,00;0,30;1,50;;0,50;;0,25
;;24;1,00;0,30;1,50;;0,50;;0,25
;;23;1,00;0,30;1,50;;0,50;;0,25
;;22;1,00;0,30;1,50;;0,50;;0,25
;;21;1,00;0,30;1,50;;0,50;;0,25
;;18;1,00;0,30;1,50;;0,50;;0,25
;;17;1,00;0,30;1,50;;0,50;;0,25
;;16;1,00;0,30;1,50;;0,50;;0,25
;;15;1,00;0,30;1,50;;0,50;;0,25
;;14;1,00;0,30;1,50;;0,50;;0,25
;;11;1,00;0,30;1,50;;0,50;;0,25
;;10;1,00;0,30;1,50;;0,50;;0,25
;;9;1,00;0,30;1,50;;0,50;;0,25
;;8;1,00;0,30;1,50;;0,50;;0,25
;;7;1,00;0,30;1,50;;;;0,25
;;4;1,00;;1,50;;0,50;;0,25
;;3;1,00;;1,50;;0,50;;0,25
;;2;1,00;0,30;1,50;;0,50;;0,25
;;1;1,00;0,30;1,50;;0,50;;0,25
;;;1,00;0,30;1,50;;0,50;;0,25
;Apr;30;1,00;;1,50;;0,50;;0,25
;;27;1,00;0,30;1,50;;0,50;;0,25
;;26;1,00;0,30;1,50;;0,50;;0,25
;;25;1,00;0,30;1,50;;0,50;;0,25
;;24;1,00;0,30;1,50;;0,50;;0,25
;;23;1,00;0,30;1,50;;0,50;;0,25
;;20;1,00;0,30;1,50;;0,50;;0,25
;;19;1,00;0,30;1,50;;0,50;;0,25
;;18;1,00;0,30;1,50;;0,50;;0,25
;;17;1,00;0,30;1,50;;0,50;;0,25
;;16;1,00;0,30;1,50;;0,50;;0,25
;;13;1,00;0,30;1,50;;0,50;;0,25
;;12;1,00;0,30;1,50;;0,50;;0,25
;;11;1,00;0,30;1,50;;0,50;;0,25
;;10;1,00;0,30;1,50;;0,50;;0,25
;;9;;0,30;;;;;0,25
;;6;;0,30;;;0,50;;0,25
;;5;1,00;0,30;1,50;;0,50;;0,25
;;4;1,00;0,30;1,50;;0,50;;0,25
;;3;1,00;0,30;1,50;;0,50;;0,25
;;2;1,00;0,30;1,50;;0,50;;0,25
;;;1,00;0,30;1,50;;0,50;;0,25
;Mar;30;1,00;0,30;1,50;;0,50;;0,25
;;29;1,00;0,30;1,50;;0,50;;0,25
;;28;1,00;0,30;1,50;;0,50;;0,25
;;27;1,00;0,30;1,50;;0,50;;0,25
;;26;1,00;0,30;1,50;;0,50;;0,25
;;23;1,00;0,30;1,50;;0,50;;0,25
;;22;1,00;0,30;1,50;;0,50;;0,25
;;21;1,00;0,30;1,50;;0,50;;0,25
;;20;1,00;;1,50;;0,50;;0,25
;;19;1,00;0,30;1,50;;0,50;;0,25
;;16;1,00;0,30;1,50;;0,50;;0,25
;;15;1,00;0,30;1,50;;0,50;;0,25
;;14;1,00;0,30;1,50;;0,50;;0,25
;;13;1,00;0,30;1,50;;0,50;;0,25
;;12;1,00;0,30;1,50;;0,50;;0,25
;;9;1,00;0,30;1,50;;0,50;;0,25
;;8;1,00;0,30;1,50;;0,50;;0,25
;;7;1,00;0,30;1,50;;0,50;;0,25
;;6;1,00;0,30;1,50;;0,50;;0,25
;;5;1,00;0,30;1,50;;0,50;;0,25
;;2;1,00;0,30;1,50;;0,50;;0,25
;;1;1,00;0,30;1,50;;0,50;;0,25
;;;1,00;0,30;1,50;;0,50;;0,25
;Feb;29;1,00;0,30;1,50;;0,50;;0,25
;;28;1,00;0,30;1,50;;0,50;;0,25
;;27;1,00;0,30;1,50;;0,50;;0,25
;;24;1,00;0,30;1,50;;0,50;;0,25
;;23;1,00;0,30;1,50;;0,50;;0,25
;;22;1,00;0,30;1,50;;0,50;;0,25
;;21;1,00;0,30;1,75;;0,50;;0,25
;;20;1,00;0,30;1,75;;0,50;;0,25
;;17;1,00;0,30;1,75;;0,50;;0,25
;;16;1,00;0,30;1,75;;0,50;;0,25
;;15;1,00;0,30;1,75;;0,50;;0,25
;;14;1,00;0,30;1,75;;0,50;;0,25
;;13;1,00;0,30;1,75;;0,50;;0,25
;;10;1,00;0,30;1,75;;0,50;;0,25
;;9;1,00;0,30;1,75;;0,50;;0,25
;;8;1,00;0,30;1,75;;0,50;;0,25
;;7;1,00;0,30;1,75;;0,50;;0,25
;;6;1,00;0,30;1,75;;0,50;;0,25
;;3;1,00;0,30;1,75;;0,50;;0,25
;;2;1,00;0,30;1,75;;0,50;;0,25
;;1;1,00;0,30;1,75;;0,50;;0,25
;;;1,00;0,30;1,50;;0,50;;0,25
;Jan;31;1,00;0,30;1,75;;0,50;;0,25
;;30;1,00;0,30;1,75;;0,50;;0,25
;;27;1,00;0,30;1,75;;0,50;;0,25
;;26;1,00;0,30;1,75;;0,50;;0,25
;;25;1,00;0,30;1,75;;0,50;;0,25
;;24;1,00;0,30;1,75;;0,50;;0,25
;;23;1,00;0,30;1,75;;0,50;;0,25
;;20;1,00;0,30;1,75;;0,50;;0,25
;;19;1,00;0,30;1,75;;0,50;;0,25
;;18;1,00;0,30;1,75;;0,50;;0,25
;;17;1,00;0,30;1,75;;0,50;;0,25
;;16;1,00;0,30;1,75;;0,50;;
;;13;1,00;0,30;1,75;;0,50;;0,25
;;12;1,00;0,30;1,75;;0,50;;0,25
;;11;1,00;0,30;1,75;;0,50;;0,25
;;10;1,00;0,30;1,75;;0,50;;0,25
;;9;1,00;;1,75;;0,50;;0,25
;;6;1,00;0,30;1,75;;0,50;;0,25
;;5;1,00;0,30;1,75;;0,50;;0,25
;;4;1,00;0,30;1,75;;0,50;;0,25
;;3;1,00;;1,75;;0,50;;0,25
;;2;1,00;;1,75;;0,50;;0,25
;;;1,00;0,30;1,75;;0,50;;0,25
2011;Dec;30;1,00;0,30;1,75;;0,50;;0,25
;;29;1,00;0,30;1,75;;0,50;;0,25
;;28;1,00;0,30;1,75;;0,50;;0,25
;;27;1,00;0,30;1,75;;0,50;;0,25
;;26;;0,30;;;;;
;;23;1,00;;1,75;;0,50;;0,25
;;22;1,00;0,30;1,75;;0,50;;0,25
;;21;1,00;0,30;1,75;;0,50;;0,25
;;20;1,00;0,30;2,00;;0,50;;0,25
;;19;1,00;0,30;2,00;;0,50;;0,25
;;16;1,00;0,30;2,00;;0,50;;0,25
;;15;1,00;0,30;2,00;;0,50;;0,25
;;14;1,00;0,30;2,00;;0,50;;0,25
;;13;1,25;0,30;2,00;;0,50;;0,25
;;12;1,25;0,30;2,00;;0,50;;0,25
;;9;1,25;0,30;2,00;;0,50;;0,25
;;8;1,25;0,30;2,00;;0,50;;0,25
;;7;1,25;0,30;2,00;;0,50;;0,25
;;6;1,25;0,30;2,00;;0,50;;0,25
;;5;1,25;0,30;2,00;;0,50;;0,25
;;2;1,25;0,30;2,00;;0,50;;0,25
;;1;1,25;0,30;2,00;;0,50;;0,25
;;;1,00;0,30;1,75;;0,50;;0,25
;Nov;30;1,25;0,30;2,00;;0,50;;0,25
;;29;1,25;0,30;2,00;;0,50;;0,25
;;28;1,25;0,30;2,00;;0,50;;0,25
;;25;1,25;0,30;2,00;;0,50;;0,25
;;24;1,25;0,30;2,00;;0,50;;
;;23;1,25;;2,00;;0,50;;0,25
;;22;1,25;0,30;2,00;;0,50;;0,25
;;21;1,25;0,30;2,00;;0,50;;0,25
;;18;1,25;0,30;2,00;;0,50;;0,25
;;17;1,25;0,30;2,00;;0,50;;0,25
;;16;1,25;0,30;2,00;;0,50;;0,25
;;15;1,25;0,30;2,00;;0,50;;0,25
;;14;1,25;0,30;2,00;;0,50;;0,25
;;11;1,25;0,30;2,00;;0,50;;0,25
;;10;1,25;0,30;2,00;;0,50;;0,25
;;9;1,25;0,30;2,00;;0,50;;0,25
;;8;1,50;0,30;2,00;;0,50;;0,25
;;7;1,50;0,30;2,00;;0,50;;0,25
;;4;1,50;0,30;2,00;;0,50;;0,25
;;3;1,50;0,30;2,00;;0,50;;0,25
;;2;1,50;0,30;2,00;;0,50;;0,25
;;1;1,50;0,30;2,00;;0,50;;0,25
;;;1,25;0,30;2,00;;0,50;;0,25
;Oct;31;1,50;0,30;2,00;;0,50;;0,25
;;28;1,50;0,30;2,00;;0,50;;0,25
;;27;1,50;0,30;2,00;;0,50;;0,25
;;26;1,50;0,30;2,00;;0,50;;0,25
;;25;1,50;0,30;2,00;;0,50;;0,25
;;24;1,50;0,30;2,00;;0,50;;0,25
;;21;1,50;0,30;2,00;;0,50;;0,25
;;20;1,50;0,30;2,00;;0,50;;0,25
;;19;1,50;0,30;2,00;;0,50;;0,25
