,date,sp500,cpi,gdp,nasdaq,unrate,usdeur,usdgbp
2046,2022-04-01,4545.85986328125,288.764,25544.273,14863.75,3.7,0.8830599784851074,0.7460290193557739
2047,2022-04-04,4582.64013671875,288.764,25544.273,15164.25,3.7,0.882610023021698,0.7439000010490417
2048,2022-04-05,4525.1201171875,288.764,25544.273,14828.0,3.7,0.8838000297546387,0.7444199919700623
2049,2022-04-06,4481.14990234375,288.764,25544.273,14505.25,3.7,0.8802700042724609,0.7408069968223572
2050,2022-04-07,4500.2099609375,288.764,25544.273,14536.0,3.7,0.8830000162124634,0.7408300042152405
2051,2022-04-08,4488.27978515625,288.764,25544.273,14327.0,3.7,0.8792399764060974,0.7395200133323669
2052,2022-04-11,4412.52978515625,288.764,25544.273,14000.0,3.7,0.8847799897193909,0.7416599988937378
2053,2022-04-12,4397.4501953125,288.764,25544.273,13945.0,3.7,0.8862400054931641,0.7390199899673462
2054,2022-04-13,4446.58984375,288.764,25544.273,14221.5,3.7,0.883899986743927,0.7376999855041504
2055,2022-04-14,4392.58984375,288.764,25544.273,13893.75,3.7,0.885200023651123,0.7389000058174133
2056,2022-04-18,4391.68994140625,288.764,25544.273,13907.75,3.7,0.8807500004768372,0.7357100248336792
2057,2022-04-19,4462.2099609375,288.764,25544.273,14217.25,3.7,0.8825799822807312,0.7363600134849548
2058,2022-04-20,4459.4501953125,288.764,25544.273,14004.75,3.7,0.8797799944877625,0.7335000038146973
2059,2022-04-21,4393.66015625,288.764,25544.273,13728.25,3.7,0.8740000128746033,0.7293949723243713
2060,2022-04-22,4271.77978515625,288.764,25544.273,13353.5,3.7,0.8728200197219849,0.729200005531311
2061,2022-04-25,4296.1201171875,288.764,25544.273,13535.75,3.7,0.8763700127601624,0.7313399910926819
2062,2022-04-26,4175.2001953125,288.764,25544.273,13016.0,3.7,0.8763800263404846,0.7327079772949219
2063,2022-04-27,4183.9599609375,288.764,25544.273,13009.0,3.7,0.88264000415802,0.7352799773216248
2064,2022-04-28,4287.5,288.764,25544.273,13454.75,3.7,0.8815699815750122,0.7348300218582153
2065,2022-04-29,4131.93017578125,288.764,25544.273,12852.0,3.7,0.8838800191879272,0.7354199886322021
2066,2022-05-02,4155.3798828125,291.359,25544.273,13073.0,3.6,0.8817200064659119,0.7376899719238281
